address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,700,Short term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,2654,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3
"Duncan House, Pimlico, SW1",SW1,2403,2772,Long term,Furnished,Ask agent,Apartment,1.0,1.0,401 sq ft,0.5,3
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,1.0,1.0,550 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1523,1758,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1472,1699,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1460,1685,Long term,Furnished,Ask agent,Studio,,1.0,100 sq ft,0.5,3
"Ebury Square, Belgravia, London, SW1W",SW1W,2557,2950,Long term,Unfurnished,Ask agent,Flat,,1.0,Ask agent,0.4,3
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,2.0,1.0,551 sq ft,0.4,3
"Prince of Wales Drive, Prince of Wales Drive, London, SW11",SW11,2200,2539,Long term,Part furnished,Ask agent,Flat,1.0,1.0,608 sq ft,0.2,3
"Gloucester Road, Kensington, SW7",SW7,2350,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,377 sq ft,0.3,3
"Clarendon Gardens, HA9",HA9,3500,0,Long term,Part furnished,Ask agent,Semi-Detached,6.0,3.0,Ask agent,0.5,3
"Ashwell House, Merrick Road, Southall, UB2",UB2,1900,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,1.2,3
"Elgin Avenue, Maida Vale, W9",W9,2000,0,Long term,Part furnished,Ask agent,Flat,1.0,1.0,406 sq ft,0.4,3
"Duncan House, London, SW1V",SW1V,5308,6124,Long term,Furnished,Ask agent,Apartment,3.0,2.0,880 sq ft,0.4,3
"Coster Avenue, London, N4",N4,3380,0,Long term,Furnished,Ask agent,Flat,2.0,,987 sq ft,0.4,3
"Trelawney House, Union Street London SE1",SE1,2200,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Tabernacle Street, Old Street London EC2A",EC21,2025,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Ospringe House, Wootton Street London SE1",SE1,1950,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.2,3
"Elgood House, 
Wellington Road, NW8",NW8,2850,3288,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Luke Street, Shoreditch, London, EC2A",EC2A,2200,2538,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,525-530 sq ft,0.3,3
"Ashley Road, London, N17",N17,1900,2192,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Palmer Road, London, SW11",SW11,4225,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,855 sq ft,0.2,3
"Lockgate Road, Imperial Wharf, SW6",SW6,2700,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"South Western Road, Twickenham, TW1",TW1,2950,3403,Long term,Unfurnished,Ask agent,House,3.0,2.0,Ask agent,0.6,3
"Fulham Park Gardens, 
Parsons Green, SW6",SW6,5300,7338,Long term,Unfurnished,Ask agent,Maisonette,3.0,2.0,"1,464 sq ft",0.5,3
"Lords View, St Johns Wood Road, NW8",NW8,2200,2538,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Hatfield Rd, St Albans, AL1",AL1,1149,1326,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,1.2,3
"Southgate, London, N14",N14,1378,1590,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.7,3
"Great Cambridge Road, London, N18",N18,1350,1350,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.9,3
"Highview Gardens, London, N11",N11,2200,2538,Long term,Unfurnished,Ask agent,Maisonette,3.0,2.0,Ask agent,0.4,3
"Hounslow, Hounslow, TW3",TW3,1400,1400,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.6,3
"Whitehall, London, SW1A",SW1A,3467,4000,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Watford, Watford, WD19",WD19,2700,2700,Long term,Unfurnished,Ask agent,Bungalow,4.0,2.0,Ask agent,1.0,3
"Station Road, Langley, Slough, SL3",SL3,1500,1731,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,1.3,3
"Newfield Rise, London, NW2",NW2,1395,1395,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.9,3
"Oakley Street, London, SW3",SW3,2450,2450,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.8,3
"R5 / 45 Ashford Road, Ashford, TW15",TW15,930,930,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,1.2,3
"Doulton House, SW6",SW6,3033,3500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Southampton Row, London, WC1B",WC1B,8000,11076,Long term,Furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.3,3
"Brecon Lodge, Porters Way, West Drayton, UB7",UB7,1450,1673,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.4,3
"Hamilton Terrace, London, NW8",NW8,52000,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,4.0,2.0,"4,501 sq ft",0.4,3
"Alder House, 2 Electric Boulevard, Battersea, SW11",SW11,8880,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,3.0,Ask agent,0.2,3
"Luke Street, London, EC2A",EC2A,2201,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Park Road, Marylebone, NW1",NW1,2500,2884,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,710 sq ft,0.4,3
"Cornwall Gardens, London, SW7",SW7,5499,0,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,Ask agent,0.4,3
"Novello Street, SW6",SW6,7000,8076,Long term,Unfurnished,Ask agent,Terraced,5.0,4.0,"1,915 sq ft",0.4,3
"Iris House, 2 Cedrus Avenue, SOUTHALL, UB1",UB1,1450,1673,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.3,3
"Georges Wood Road, Brookmans Park, Hertfordshire, AL9",AL9,2350,2653,Long term,Unfurnished,Ask agent,Apartment,3.0,2.0,Ask agent,1.5,3
"Minories, 
Minories, EC3N",EC3N,4500,5192,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Affinity House, Beresford Avenue, HA0",HA0,2500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Dukes Wood Drive, Gerrards Cross, SL9",SL9,4990,0,Long term,Unfurnished,Ask agent,Detached,5.0,3.0,Ask agent,1.8,3
"New Union Square, London, SW11",SW11,4247,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,947 sq ft,0.4,3
"Beech Hill Avenue, Hadley Wood, Hertfordshire, EN4",EN4,3500,0,Long term,Unfurnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.9,3
"Bankside Down, Old Chorleywood Road, Rickmansworth, Hertfordshire, WD3",WD3,2500,0,Short term,Unfurnished,Ask agent,Semi-Detached,3.0,2.0,Ask agent,1.1,3
"Collingham Road, London, SW5",SW5,2652,0,,Furnished,Ask agent,Flat,1.0,1.0,35 sq ft,0.4,3
"Tantallon Road, London, SW12",SW12,3000,3461,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"St. Johns Wood Road, St. Johns Wood, NW8",NW8,2300,2653,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Westbourne Park Road, 
Westbourne Park, W11",W11,2650,3058,Long term,Part furnished,Ask agent,Flat,1.0,1.0,793 sq ft,0.4,3
"Queens Gate, 
South Kensington, SW7",SW7,3000,3462,Long term,Part furnished,Ask agent,Flat,1.0,1.0,690 sq ft,0.4,3
"Whippendell Road, Watford, WD18",WD18,930,1073,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,0.9,3
"Gerrards Cross Road, Stoke Poges, SL2",SL2,4500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,5.0,3.0,Ask agent,3.0,3
"Abbey Orchard Street, London, SW1P",SW1P,4745,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,957 sq ft,0.3,3
"Dorset House, 
Gloucester Place, NW1",NW1,7000,9692,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.2,3
"The Tower, St George's Wharf, London, SW8",SW8,6500,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.3,3
"Abbey Orchard Street, London, SW1P",SW1P,4550,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,957 sq ft,0.3,3
"Printworks, Amelia Street, SE17",SE17,1842,2375,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Mulberry Close, New Barnet, Hertfordshire, EN4",EN4,2300,0,Long term,Ask agent,Ask agent,Terraced,2.0,1.0,Ask agent,0.6,3
"Hampton House, Kings Road Park, 2 Michael Road, Fulham, SW6",SW6,2817,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Cassini Apartments, Cascade Way, W12",W12,3800,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Kenilworth Gardens, Staines, Surrey, TW18",TW18,1650,0,Long term,Ask agent,Ask agent,End of Terrace,2.0,,Ask agent,1.4,3
"Moore House, Grosvenor Waterside, 2 Gatliff Road, London, SW1W",SW1W,4199,5814,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,871 sq ft,0.5,3
"Bracewell Road, London, UK, W10",W10,2600,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Church Lane, EN6",EN6,1495,0,,Furnished,Ask agent,Cottage,2.0,,Ask agent,2.0,3
"Grenan Square, Greenford, Middlesex, UB6",UB6,1782,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,586 sq ft,0.6,3
"Baltic Avenue, Brentford , TW8",TW8,3250,0,Long term,Unfurnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.6,3
"St Johns Court Finchley Road, NW3",NW3,1950,2250,Long term,Part furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Newstead Court, Byron Way, Northolt, Middlesex, UB5",UB5,1695,0,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,1.7,3
"Elder House, Water Lane, Kingston upon Thames, KT1",KT1,1750,2019,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,582 sq ft,0.5,3
"Wandsworth Road, London, SW8",SW8,3235,2700,Long term,Furnished,Ask agent,Flat,1.0,1.0,687 sq ft,0.3,3
"Tillermans Court, Greenford, Middlesex, UB6",UB6,2317,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,916 sq ft,0.6,3
"Peel Road, Wembley, Greater London, HA9",HA9,875,0,Long term,Furnished,Ask agent,,1.0,,Ask agent,0.2,2
"Wandsworth Road, London, SW8",SW8,3399,3300,Long term,Furnished,Ask agent,Flat,2.0,2.0,966 sq ft,0.3,3
"Prytaneum Court, Palmers Green, N13",N13,1900,2192,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3
"Mercantile House, Market Square, Uxbridge, UB8",UB8,1176,1356,Long term,Furnished,Ask agent,Studio,,1.0,399 sq ft,1.2,3
"Hanover Gate Mansions, Park Road, NW1",NW1,2300,2307,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Eaton Place, Belgravia, London, SW1X",SW1X,9512,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Egerton Place, London, SW3",SW3,3445,3975,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Ebury Street, Belgravia, SW1W",SW1W,11050,15300,Long term,Ask agent,Ask agent,Terraced,4.0,3.0,Ask agent,0.4,3
"Trinity Square, 23-59 Staines Road, Hounslow, Greater London, TW3",TW3,1600,1840,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Exploration Way, Slough, SL1",SL1,1450,0,,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.5,3
"76 Station Road, Hayes, UB3",UB3,1750,2019,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,Ask agent,1.4,3
"Wandsworth Road, London, SW8",SW8,3499,3300,Long term,Furnished,Ask agent,Flat,2.0,2.0,938 sq ft,0.3,3
"Chandos Road, London, NW2",NW2,2250,2596,Long term,Furnished,Ask agent,Flat,2.0,1.0,635 sq ft,0.5,3
"Uxbridge Road, Hayes, Greater London, UB4",UB4,2400,0,Long term,Ask agent,Ask agent,Semi-Detached,3.0,2.0,Ask agent,1.6,3
"Romney House, Marsham Street, SW1P",SW1P,2817,3250,Long term,Furnished,Ask agent,Apartment,2.0,1.0,524 sq ft,0.4,3
"Ashford, Sunbury, TW15",TW15,2500,2884,Long term,Unfurnished,Ask agent,Detached Bungalow,3.0,1.0,Ask agent,1.3,3
"St. Cuthberts Road, Kilburn, NW2",NW2,2700,0,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Peters Lodge, Stonegrove, Edgware, HA8",HA8,2300,2653,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,Ask agent,0.7,3
"Bell Lane,London,NW4",NW4,1100,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.8,3
"Deerhurst Road, London, NW2",NW2,1582,1904,Long term,Furnished,Ask agent,Ground Flat,1.0,1.0,Ask agent,0.4,3
"Wandsworth Road, London, SW8",SW8,3649,3300,Long term,Furnished,Ask agent,Flat,2.0,2.0,"1,089 sq ft",0.3,3
"Regal House, Lensbury Avenue, London, SW6",SW6,3012,3475,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Dudley Road, Harrow, HA2",HA2,2300,0,Long term,Part furnished,Ask agent,Semi-Detached,3.0,1.0,Ask agent,0.6,3
"Alexander Road, Islington, N19",N19,1192,980,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.5,3
"Hillside Road, London, N15",N15,1350,1557,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Marina Point, Lensbury Avenue, Imperial Wharf, London, Hammersmith and Fulham, SW6",SW6,3501,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Bassett Street, Kentish Town, NW5",NW5,2145,0,Long term,Part furnished,Ask agent,Maisonette,2.0,1.0,87 sq ft,0.3,3
"Thornes House, Nine Elms, London, SW11",SW11,3012,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"A Paul Street, London, EC2A",EC2A,1775,2048,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Reddington Drive, Slough, SL3",SL3,1950,2250,Long term,Furnished,Ask agent,Terraced,4.0,2.0,Ask agent,1.4,3
"Camden, London, NW1",NW1,4550,5250,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.3,3
"Phipps House, London, W12",W12,850,850,Long term,Furnished,Ask agent,Flat Share,1.0,2.0,Ask agent,0.4,3
"Camrose Avenue, London, TW13",TW13,2000,2307,Long term,Unfurnished,Ask agent,Terraced,3.0,2.0,759 sq ft,1.1,3
"Grasmere Avenue, Wembley, HA9",HA9,2450,2827,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,Ask agent,0.4,2
"Coverdale Road, Brondesbury, NW2",NW2,5975,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.4,3
"Clapham Common South Side, SW4",SW4,3250,0,Short term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Waldo Road, London, NW10",NW10,4996,0,Long term,Ask agent,Ask agent,Terraced,4.0,2.0,Ask agent,0.5,3
"The Haydon, 16 Minories, EC3N",EC3N,4498,6230,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Legacy Building, Embassy Garden, SW11",SW11,4000,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Willesden Lane, 
Brondesbury Park, NW2",NW2,1396,1904,Long term,Furnished,Ask agent,Flat,,1.0,Ask agent,0.5,3
"Earls Court Square, Earls Court, SW5",SW5,3298,3807,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Mercantile House, Market Square, Uxbridge, UB8",UB8,1195,1378,Long term,Furnished,Ask agent,Studio,,1.0,399 sq ft,1.2,3
"Merton Road, London, SW18",SW18,3650,4212,Long term,Furnished,Ask agent,Semi-Detached,4.0,2.0,Ask agent,0.6,3
"Dollis Hill Lane, London, NW2",NW2,4000,4615,Long term,Furnished,Ask agent,Flat,4.0,2.0,Ask agent,0.7,3
"Bay House, Kidderpore Avenue, Hampstead, NW3",NW3,3432,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,592 sq ft,0.7,3
"Melton Court, London, SW7",SW7,8450,11700,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,Ask agent,0.4,3
"Gloucester Place, London, NW1",NW1,5633,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.3,3
"Hobart Road, Hayes, Middlesex, UB4",UB4,1700,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Semi-Detached,4.0,2.0,Ask agent,1.8,3
"Carfax Road, Hayes, Middlesex, UB3",UB3,2700,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,4.0,,Ask agent,1.5,3
"Park Road, London, NW8",NW8,7410,0,,Furnished,Ask agent,Flat,5.0,3.0,"1,959 sq ft",0.5,3
"Tudor Square, Hayes, Middlesex, UB3",UB3,2000,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,3.0,,Ask agent,1.9,3
"Haverstock Hill, London, NW3",NW3,3000,3461,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,736 sq ft,0.4,3
"Roman House, 
Wood Street, EC2Y",EC2Y,3750,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Hanover Gate Mansions, Park Road, NW1",NW1,2300,2307,Long term,Furnished,Ask agent,Detached,1.0,1.0,Ask agent,0.4,3
"Hillingdon Road, Uxbridge, Greater London, UB10",UB10,1700,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,,Ask agent,1.4,3
"Hilliers Avenue,Uxbridge,UB8",UB8,1550,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Maisonette,2.0,,Ask agent,1.5,3
"Park Road, London, NW8",NW8,10010,0,,Furnished,Ask agent,Flat,4.0,3.0,"2,553 sq ft",0.5,3
"High Street, West Drayton, Middlesex, UB7",UB7,1600,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,,Ask agent,1.3,3
"Conquest Tower, Blackfriars Circus, SE1",SE1,3700,4384,Long term,Furnished,Ask agent,Apartment,2.0,2.0,807 sq ft,0.3,3
"Cedars Road, SW4",SW4,1993,0,Long term,Furnished,Ask agent,Maisonette,2.0,1.0,Ask agent,0.7,3
"Aldenham Road, Letchmore Heath, Watford, Hertsmere, WD25",WD25,12500,17307,Long term,Furnished,Ask agent,Detached,6.0,6.0,Ask agent,2.2,3
"Falcon Way, Watford, WD25",WD25,1175,1355,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.9,3
"Slough, Berkshire, SL3",SL3,1950,2250,Long term,Unfurnished,Ask agent,Terraced,3.0,1.0,Ask agent,1.4,3
"Battersea Park Road, London, SW11",SW11,2149,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.7,3
"Petersham Road, Richmond, TW10",TW10,2650,3057,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,1.0,Ask agent,0.8,3
